Material,Material description,Bundle,Khu Vực,Status,Color,Material Description,Size Type,IsValid,Case
C0000000910,ZZGC_09 DUONG,ZZGC_09,IM,C5,DUONG,,TE_ZZ GC 09_Size,No,WHEN 'C0000000910' THEN 'ZZGC_09'
C0000000911,ZZGC_09 LA,ZZGC_09,IM,C5,LA,,TE_ZZ GC 09_Size,No,WHEN 'C0000000911' THEN 'ZZGC_09'
C0000000912,ZZGC_09 DO,ZZGC_09,IM,C5,DO,,TE_ZZ GC 09_Size,No,WHEN 'C0000000912' THEN 'ZZGC_09'
C0000000913,ZZGC_09 VANG,ZZGC_09,IM,C5,VANG,,TE_ZZ GC 09_Size,No,WHEN 'C0000000913' THEN 'ZZGC_09'
C0000000924,TA_09 DUONG,TA_09,IM,C5,DUONG,,HDL_TPA_09_Size,No,WHEN 'C0000000924' THEN 'TA_09'
C0000000933,TA_09_S DUONG,TA_09_S,TE,C5,DUONG,,TE_TPA_09_Size,No,WHEN 'C0000000933' THEN 'TA_09_S'
C0000000934,TA_09_M DUONG,TA_09_M,TE,C5,DUONG,,TE_TPA_09_Size,No,WHEN 'C0000000934' THEN 'TA_09_M'
C0000000943,GC_09 DUONG,GC_09,IM,C5,DUONG,,HDL_GC09_Size,No,WHEN 'C0000000943' THEN 'GC_09'
C0000000944,GC_09 LA,GC_09,IM,C5,LA,,HDL_GC09_Size,No,WHEN 'C0000000944' THEN 'GC_09'
C0000000945,GC_09 VANG,GC_09,IM,C5,VANG,,HDL_GC09_Size,No,WHEN 'C0000000945' THEN 'GC_09'
C0000000946,GC_09 DO,GC_09,IM,C5,DO,,HDL_GC09_Size,No,WHEN 'C0000000946' THEN 'GC_09'
C0000000947,GC_09_S VANG,GC_09_S,TE,C5,VANG,,,No,WHEN 'C0000000947' THEN 'GC_09_S'
C0000000948,GC_09_S DUONG,GC_09_S,TE,C5,DUONG,,,No,WHEN 'C0000000948' THEN 'GC_09_S'
C0000000949,GC_09_S LA,GC_09_S,TE,C5,LA,,,No,WHEN 'C0000000949' THEN 'GC_09_S'
C0000000950,GC_09_S DO,GC_09_S,TE,C5,DO,,,No,WHEN 'C0000000950' THEN 'GC_09_S'
C0000000985,ZZAB_09 DUONG,ZZAB_09,IM,C5,DUONG,,HDL_ZZ AB 09_Size,No,WHEN 'C0000000985' THEN 'ZZAB_09'
C0000000986,ZZAB_09 LA,ZZAB_09,IM,C5,LA,,HDL_ZZ AB 09_Size,No,WHEN 'C0000000986' THEN 'ZZAB_09'
C0000000987,ZZAB_09 TIM,ZZAB_09,IM,C5,TIM,,HDL_ZZ AB 09_Size,No,WHEN 'C0000000987' THEN 'ZZAB_09'
C0000000988,ZZAB_09 DO,ZZAB_09,IM,C5,DO,,HDL_ZZ AB 09_Size,No,WHEN 'C0000000988' THEN 'ZZAB_09'
C0000000989,ZZAB_09 TIM,ZZAB_09,IM,C5,TIM,,,No,WHEN 'C0000000989' THEN 'ZZAB_09'
C0000000991,ZZAB_09 DUONG,ZZAB_09,IM,C5,DUONG,,,No,WHEN 'C0000000991' THEN 'ZZAB_09'
C0000000993,ZZAB_09 LA,ZZAB_09,IM,C5,LA,,,No,WHEN 'C0000000993' THEN 'ZZAB_09'
C0000000995,ZZAB_09 DO,ZZAB_09,IM,C5,DO,,,No,WHEN 'C0000000995' THEN 'ZZAB_09'
C0000001013,TA_09 LA,TA_09,IM,C5,LA,,HDL_TPA_09_Size,No,WHEN 'C0000001013' THEN 'TA_09'
C0000001014,TA_09 CAM,TA_09,IM,C5,CAM,,HDL_TPA_09_Size,No,WHEN 'C0000001014' THEN 'TA_09'
C0000001015,TA_09 DO,TA_09,IM,C5,DO,,HDL_TPA_09_Size,No,WHEN 'C0000001015' THEN 'TA_09'
C0000001016,TA_09_M LA,TA_09_M,TE,C5,LA,,TE_TPA_09_Size,No,WHEN 'C0000001016' THEN 'TA_09_M'
C0000001017,TA_09_M CAM,TA_09_M,TE,C5,CAM,,TE_TPA_09_Size,No,WHEN 'C0000001017' THEN 'TA_09_M'
C0000001018,TA_09_M DO,TA_09_M,TE,C5,DO,,TE_TPA_09_Size,No,WHEN 'C0000001018' THEN 'TA_09_M'
C0000001019,TA_09_S LA,TA_09_S,TE,C5,LA,,TE_TPA_09_Size,No,WHEN 'C0000001019' THEN 'TA_09_S'
C0000001020,TA_09_S CAM,TA_09_S,TE,C5,CAM,,TE_TPA_09_Size,No,WHEN 'C0000001020' THEN 'TA_09_S'
C0000001021,TA_09_S DO,TA_09_S,TE,C5,DO,,TE_TPA_09_Size,No,WHEN 'C0000001021' THEN 'TA_09_S'
C0000001371,CP_09 DO,CP_09,IM,C5,DO,Pokey 00 FH Red Handle,HDL_PK_Size,No,WHEN 'C0000001371' THEN 'CP_09'
C0000001372,CP_09 DUONG,CP_09,IM,C5,DUONG,Pokey 00 FH Blue Handle,HDL_PK_Size,No,WHEN 'C0000001372' THEN 'CP_09'
C0000001377,CP_09_S DUONG,CP_09_S,TE,C5,DUONG,,TE_PK_Size,No,WHEN 'C0000001377' THEN 'CP_09_S'
